State,Year,Price,President
Michoacán de Ocampo,2000,451793.037,Ernesto Zedillo
Morelos,2000,206506.907,Ernesto Zedillo
Nayarit,2000,115655.771,Ernesto Zedillo
Nuevo León,2000,1212180.744,Ernesto Zedillo
Oaxaca,2000,355730.604,Ernesto Zedillo
Puebla,2000,563688.529,Ernesto Zedillo
Querétaro,2000,368560.567,Ernesto Zedillo
Quintana Roo,2000,180224.21,Ernesto Zedillo
San Luis Potosí,2000,310464.565,Ernesto Zedillo
Sinaloa,2000,391566.997,Ernesto Zedillo
Sonora,2000,591564.059,Ernesto Zedillo
Tabasco,2000,425906.505,Ernesto Zedillo
Tamaulipas,2000,565664.824,Ernesto Zedillo
Tlaxcala,2000,112212.235,Ernesto Zedillo
Veracruz de Ignacio de la Llave,2000,896917.145,Ernesto Zedillo
Yucatán,2000,232449.318,Ernesto Zedillo
Zacatecas,2000,124586.508,Ernesto Zedillo
Aguascalientes,2001,167309.35,Vicente Fox
Baja California,2001,730554.237,Vicente Fox
Baja California Sur,2001,99668.467,Vicente Fox
Campeche,2001,892409.088,Vicente Fox
Coahuila de Zaragoza,2001,657960.994,Vicente Fox
Colima,2001,108484.812,Vicente Fox
Chiapas,2001,308418.26,Vicente Fox
Chihuahua,2001,554947.182,Vicente Fox
Ciudad de México,2001,2870934.157,Vicente Fox
Durango,2001,217801.317,Vicente Fox
